day_computed,secs,prod
2,40566,1.005617978
3,35694,0.8338762215
4,34407,0.8038585209
5,22832,0.2268518519
6,27258,0.6612903226
7,20801,1.153284672
8,24924,0.9068322981
9,36165,1.090909091
10,28877,0.8253968254
11,23165,0.512345679
12,3837,0.6041666667
13,22491,0.5702479339
14,17559,0.7857142857
15,21269,1.126315789
16,31971,1.041666667
17,30013,1.039647577
18,38189,1.09039548
19,20493,-0.4634146341
20,19003,0.9826086957
21,23974,0.8
22,25259,0.85
23,31224,0.8387096774
24,25407,0.7748691099
25,30470,1.095419847
26,8149,1.102941176
27,18897,1.032051282
28,27143,0.856
29,29985,0.625
30,32823,1.003164557
36,7726,0.7906976744
37,24591,0.9119170984
38,23612,1.040609137
39,24800,1.116731518
40,8235,0.6071428571
41,7761,0.4029850746
42,30254,0.9915966387
43,34913,0.9201520913
44,31098,0.9072580645
45,27525,0.7639484979
46,28089,0.8390804598
47,7413,1.095238095
48,5207,0.7317073171
49,1845,0.6666666667
51,664,1.125
52,5916,1.06
53,29737,0.3553719008
54,10134,0.1111111111
55,22880,0.9422222222
56,29410,1.022421525
57,41449,1.043010753
58,26815,0.9917355372
59,36974,1.063091483
61,25383,1.116883117
62,18045,1.010638298
63,11480,1.394230769
64,26077,1.061674009
65,26938,0.9615384615
66,36827,0.9252669039
67,21994,1.018404908
68,25009,0.9361702128
69,17467,1.0078125
70,22437,0.9802631579
71,28308,1.015444015
72,18101,1
73,34034,1.146953405
74,22248,0.8888888889
75,27925,0.7904761905
76,9154,0.6630434783
77,8512,-0.09523809524
78,33936,0.9401197605
79,36468,0.9534883721
80,33742,0.9466666667
81,20190,1.030674847
82,21771,0.8978494624
83,1483,0.5
84,3313,0.7272727273
85,25562,0.9838709677
86,22349,0.7883597884
87,26818,1.03125
88,9322,1.029850746
89,23289,1.080188679
91,26857,0.4
92,23635,0.9945945946
93,25922,0.8264840183
94,29403,1.088235294
95,16969,1.054421769
96,22413,1.089108911
97,5907,0.4285714286
98,12256,0.5894736842
99,12374,0.9423076923
100,25750,1.216748768
101,10218,1
102,17032,1.082706767
103,18976,0.8698630137
104,973,0.6315789474
106,11930,0.4957264957
107,25311,0.938697318
108,21374,0.8728813559
109,19004,0.9646017699
110,14759,0.8
112,931,0.2
113,9002,0.676056338
114,6842,0.9464285714
115,18402,0.8923076923
116,24389,1.056962025
117,218,1.666666667
118,9852,0.2117647059
119,14005,0.7564102564
120,19823,1.2
121,18790,0.9115646259
122,33822,0.7150537634
123,24471,1.00625
124,34421,1.125714286
125,13037,-0.05263157895
126,15696,0.762295082
127,16346,0.07692307692
128,23767,0.8827160494
129,36025,1.14213198
130,162,-0.5
132,11891,-0.1428571429
133,9722,-0.02777777778
134,20150,1.014705882
135,23109,0.7333333333
136,23935,0.8481675393
137,17382,0.7796610169
138,31080,1.212669683
139,3186,0.5588235294
140,3712,1.5
141,20505,0.8684210526
142,13227,0.8275862069
143,23990,1.11965812
144,17109,0.8805970149
145,25642,0.9014084507
147,6170,0.3548387097
148,17810,-0.48
149,11226,0.9824561404
150,1852,0.1739130435
151,3152,0.6
154,4217,-0.5
155,12233,0.9340659341
156,514,0.6666666667
157,9933,0.8192771084
158,18661,0.893129771
159,10092,0.8904109589
160,4873,1.074626866
161,5092,0.962962963
162,3849,1.109090909
163,1572,0.8333333333
164,1980,1.275862069
167,6319,1.618181818
168,5871,0.6818181818
169,5243,0.7547169811
170,10420,1.127659574
171,5900,0.8541666667
173,3933,1.023255814
174,1166,1.277777778
175,8199,1.188405797
176,3278,0.75
177,5144,0.8148148148
178,3461,0.7021276596
179,4193,0.7333333333
180,448,0.3333333333
181,4113,0.4210526316
182,410,0.8235294118
183,4990,0.9117647059
184,3484,1
189,4334,0.9722222222
190,1440,1.294117647
191,5363,1.104166667
202,4834,0.2857142857
203,9805,-0.3548387097
204,8315,-0.2692307692
206,1516,0.4545454545
210,7103,1.225806452
211,15526,0.6984126984
212,8182,0.5681818182
213,4740,1.098360656
214,1311,1.318181818
215,638,1.272727273
216,4040,0.5609756098
217,5045,0.96
218,4039,0.6875
219,2455,0.9696969697
220,5699,0.8412698413
221,1243,0.28
223,5139,0.8367346939
224,932,0.5294117647
225,706,0.7058823529
227,225,1.2
229,3200,1.066666667
231,1312,1.25
232,8922,0.976744186
235,206,0.375
236,2601,0.5625
237,10178,0.6666666667
238,4433,0.7
239,8915,0.5432098765
241,7212,0.5490196078
242,1619,1.133333333
243,903,0.9444444444
244,3743,0.46875
246,1500,0.6764705882
250,507,0
251,3328,0.3333333333
252,5706,-0.2368421053
253,8165,-0.25
254,3796,-0.7
255,41,-2
257,4102,0.6129032258
258,52,1
259,7696,-0.08333333333
260,5179,-0.04761904762
262,555,-1.333333333
263,3361,0
264,1262,0.2
266,4924,0.3863636364
268,115,-0.2
270,756,0.2857142857
273,4428,0.4693877551
274,5766,0.7692307692
275,376,1
276,3329,1
277,5312,0.6666666667
281,1733,0.6333333333
282,1403,0.5263157895
283,296,0.4545454545
288,5468,0.6
289,4614,0.7708333333
291,5110,1
292,3967,0.4166666667
295,3517,0.7659574468
296,4595,0.8888888889
297,68,0.6666666667
298,6401,0.7462686567
299,5501,0.4024390244
300,2567,0.3333333333
302,9621,0.7042253521
303,4271,0.9705882353
304,8672,0.7954545455
305,3683,0.8275862069
306,1696,1.05
307,2749,1.107142857
308,327,0.5714285714
309,10499,0.5245901639
310,1078,0.3333333333
313,2264,1.25
314,9871,1.064220183
315,299,1.333333333
316,112,1
317,3216,0.4255319149
318,58,1
322,470,0.75
323,1,1
324,31,1
325,22,1
326,4203,0.9666666667
327,7313,0.7457627119
328,5991,0.2264150943
329,8631,0.6836734694
330,5174,0.6567164179
331,2629,0.09090909091
337,35,1
338,3830,0.306122449
339,382,0.1428571429
340,8352,0.4537037037
341,2069,0.3333333333
342,1045,-0.2666666667
343,10076,0.2571428571
344,5293,0.9318181818
347,3371,0.2666666667
348,1944,0.4
349,726,0
350,313,0.5555555556
351,1560,0.3333333333
352,1491,0.4444444444
353,2182,-0.1481481481
355,1319,-0.03448275862
356,5225,0.0612244898
357,9852,0.7160493827
358,28551,0.8617886179
359,15129,0.768
360,13781,0.525
361,277,0
362,3475,1.318181818
363,395,0.6666666667
Grand Total,3438501,0.8646604998
