date,steps,service
2020-01-02,3623,google
2020-01-01,7746,google
2019-12-31,15387,google
2019-12-30,4631,google
2019-12-29,17637,google
2019-12-28,10378,google
2019-12-27,9812,google
2019-12-26,10831,google
2019-12-25,13658,google
2019-12-24,14889,google
2019-12-23,2499,google
2019-12-22,10975,google
2019-12-21,10833,google
2019-12-20,4649,google
2019-12-19,8424,google
2019-12-18,14576,google
2019-12-17,9731,google
2019-12-16,8805,google
2019-12-15,14996,google
2019-12-14,17034,google
2019-12-13,7391,google
2019-12-12,4867,google
2019-12-11,17813,google
2019-12-10,3906,google
2019-12-09,3761,google
2019-12-08,17681,google
2019-12-07,34140,google
2019-12-06,9329,google
2019-12-05,5041,google
2019-12-04,12870,google
2019-12-03,12040,google
2019-12-02,3124,google
2019-12-01,3308,google
2019-11-30,6168,google
2019-11-29,9468,google
2019-11-28,19892,google
2019-11-27,9578,google
2019-11-26,3063,google
2019-11-25,16943,google
2019-11-24,5123,google
2019-11-23,8523,google
2019-11-22,7931,google
2019-11-21,7692,google
2019-11-20,5299,google
2019-11-19,13340,google
2019-11-18,6156,google
2019-11-17,13289,google
2019-11-16,4758,google
2019-11-15,30029,google
2019-11-14,5795,google
2019-11-13,10004,google
2019-11-12,6867,google
2019-11-11,13642,google
2019-11-10,7682,google
2019-11-09,17510,google
2019-11-08,4950,google
2019-11-07,4217,google
2019-11-06,5710,google
2019-11-05,20483,google
2019-11-04,3381,google
2019-11-03,23267,google
2019-11-02,19920,google
2019-11-01,9747,google
2019-10-31,11060,google
2019-10-30,5502,google
2019-10-29,4220,google
2019-10-28,10572,google
2019-10-27,23894,google
2019-10-26,19042,google
2019-10-25,7866,google
2019-10-24,9906,google
2019-10-23,7155,google
2019-10-22,7093,google
2019-10-21,17071,google
2019-10-20,22319,google
2019-10-19,28919,google
2019-10-18,4549,google
2019-10-17,7816,google
2019-10-16,12177,google
2019-10-15,5374,google
2019-10-14,10080,google
2019-10-13,4867,google
2019-10-12,17002,google
2019-10-11,17768,google
2019-10-10,15562,google
2019-10-09,7294,google
2019-10-08,13192,google
2019-10-07,9210,google
2019-10-06,7511,google
2019-10-05,29078,google
2019-10-04,14285,google
2019-10-03,11675,google
2019-09-28,16670,google
2019-09-27,10754,google
2019-09-26,9226,google
2019-09-25,10924,google
2019-09-24,4701,google
2019-09-23,6085,google
2019-09-22,14843,google
2019-09-21,15922,google
2019-09-20,11523,google
2019-09-19,20539,google
2019-09-18,14178,google
2019-09-17,25622,google
2019-09-16,9635,google
2019-09-15,15349,google
2019-09-14,10943,google
2019-09-13,7844,google
2019-09-12,5125,google
2019-09-11,11199,google
2019-09-10,9647,google
2019-09-09,5310,google
2019-09-08,17559,google
2019-09-07,20735,google
2019-09-06,10096,google
2019-09-05,13585,google
2019-09-04,6120,google
2019-09-03,14915,google
2019-09-02,6627,google
2019-09-01,18724,google
2019-08-31,23723,google
2019-08-30,20252,google
2019-08-29,13630,google
2019-08-28,7023,google
2019-08-27,19319,google
2019-08-26,11676,google
2019-08-25,9079,google
2019-08-24,23203,google
2019-08-23,12554,google
2019-08-22,17636,google
2019-08-21,4793,google
2019-08-20,17690,google
2019-08-19,9094,google
2019-08-18,12844,google
2019-08-17,32247,google
2019-08-16,18798,google
2019-08-15,8260,google
2019-08-14,10227,google
2019-08-13,13575,google
2019-08-12,12201,google
2019-08-11,20949,google
2019-08-10,29936,google
2019-08-09,16905,google
2019-08-08,12887,google
2019-08-07,8298,google
2019-08-06,7123,google
2019-08-05,17385,google
2019-08-04,16621,google
2019-08-03,15323,google
2019-08-02,12300,google
2019-08-01,7963,google
2019-07-31,12640,google
2019-07-30,14403,google
2019-07-29,12722,google
2019-07-28,15736,google
2019-07-27,28500,google
2019-07-26,11446,google
2019-07-25,15832,google
2019-07-24,20586,google
2019-07-23,10781,google
2019-07-22,10025,google
2019-07-21,11022,google
2019-07-20,9788,google
2019-07-19,20159,google
2019-07-18,5484,google
2019-07-17,14632,google
2019-07-16,6425,google
2019-07-15,11125,google
2019-07-14,8046,google
2019-07-13,7845,google
2019-07-12,7682,google
2019-07-11,7780,google
2019-07-10,14775,google
2019-07-09,16160,google
2019-07-08,8613,google
2019-07-07,11159,google
2019-07-06,10638,google
2019-07-05,11727,google
2019-07-04,1792,google
2019-07-03,6035,google
2019-07-02,3164,google
2019-07-01,4387,google
2019-06-30,9856,google
2019-06-29,5899,google
2019-06-28,6125,google
2019-06-27,4588,google
2019-06-26,4125,google
2019-06-25,8193,google
2019-06-24,4120,google
2019-06-23,16080,google
2019-06-22,29768,google
2019-06-21,11072,google
2019-06-20,5365,google
2019-06-19,7370,google
2019-06-18,3553,google
2019-06-17,20595,google
2019-06-16,9777,google
2019-06-15,7249,google
2019-06-14,8023,google
2019-06-13,9503,google
2019-06-12,7368,google
2019-06-11,5364,google
2019-06-10,9684,google
2019-06-09,20690,google
2019-06-08,14976,google
2019-06-07,17384,google
2019-06-06,16897,google
2019-06-05,26364,google
2019-06-04,21544,google
2019-06-03,13480,google
2019-06-02,17164,google
2019-06-01,15659,google
2019-05-31,26922,google
2019-05-30,11788,google
2019-05-29,9627,google
2019-05-28,6693,google
2019-05-27,3952,google
2019-05-26,19594,google
2019-05-25,32499,google
2019-05-24,15974,google
2019-05-23,19604,google
2019-05-22,22061,google
2019-05-21,13058,google
2019-05-20,13220,google
2019-05-19,4503,google
2019-05-12,11,google
2019-05-11,13613,google
2019-05-10,28060,google
2019-05-09,9134,google
2019-05-08,6647,google
2019-05-07,11252,google
2019-05-06,10492,google
2019-05-05,7991,google
2019-05-04,10308,google
2019-05-03,11309,google
2019-05-02,14593,google
2019-05-01,5669,google
2019-04-30,14410,google
2019-04-29,5438,google
2019-04-24,16240,google
2019-04-23,11931,google
2019-04-22,7028,google
2019-04-21,16004,google
2019-04-20,17661,google
2019-04-19,9642,google
2019-04-18,15136,google
2019-04-17,9754,google
2019-04-16,14425,google
2019-04-15,9592,google
2019-04-14,30219,google
2019-04-13,14441,google
2019-04-12,19616,google
2019-04-11,16600,google
2019-04-10,8695,google
2019-04-09,9017,google
2019-04-08,16992,google
2019-04-07,10076,google
2019-04-06,3221,google
2019-04-05,9200,google
2019-04-04,11193,google
2019-04-03,8962,google
2019-04-02,11488,google
2019-04-01,13267,google
2019-03-31,868,google
2019-03-30,10386,google
2019-03-29,11973,google
2019-03-28,15503,google
2019-03-27,7354,google
2019-03-26,14272,google
2019-03-25,10802,google
2019-03-24,17349,google
2019-03-23,3665,google
2019-03-22,8664,google
2019-03-21,13728,google
2019-03-20,12555,google
2019-03-19,4229,google
