artist,total
Lauv,496
Leon Bridges,422
Chance the Rapper,301
Maggie Rogers,230
Bahamas,203
Young the Giant,194
Dawes,193
Noah Gundersen,187
Discovery,170
Bon Iver,159
The Paper Kites,133
Sufjan Stevens,116
Charlotte Day Wilson,115
Rhye,107
Beck,85
Bear's Den,85
Vampire Weekend,82
Tame Impala,80
The Japanese House,76
Rogue Wave,73
Cigarettes After Sex,70
Alabama Shakes,67
The Head and the Heart,63
Blind Pilot,63
Junip,62
Sleeping at Last,57
Gregory Alan Isakov,56
Local Natives,53
Whitney,46
H.E.R.,46
Brock Berrigan,45
Nick Murphy / Chet Faker,44
aXian,44
Death Cab for Cutie,42
Adele,41
Usher,40
The War on Drugs,40
Bassti,36
Alvvays,36
Sawyer,35
Rogue Valley,35
Washed Out,34
HAIM,34
Ariana Grande,34
TESK,32
Johann Sebastian Bach,32
Ray LaMontagne,31
Justin Bieber,30
Unknown Mortal Orchestra,28
Tom Misch,28
Boy & Bear,28
She & Him,27
Donnie Trumpet & The Social Experiment,27
Chet Faker,26
Lord Huron,25
Fleetwood Mac,25
Beach Fossils,25
Marvin Gaye,24
Fleet Foxes,24
Kanye West,23
CHVRCHES,23
Iron & Wine,22
Philanthrope,21
Of Monsters and Men,21
Noname,21
Penny and Sparrow,20
Justin Timberlake,20
Bing Crosby,20
Mark Ronson,19
Mariah Carey,19
Kevin Garrett,19
Francis and the Lights,19
Edward + Jane,19
DJ Khaled,19
The Wombats,18
The Piano Guys,18
Pomplamoose,18
Honne,18
Generationals,18
Bill Withers,18
Rayland Baxter,17
Joss Stone,17
Hozier,17
Houndmouth,17
baaskaT,17
Stevie Wonder,16
Nat King Cole,16
Mario,16
Luis Fonsi,16
Hiss Golden Messenger,16
Gyvus,16
DJ Snake,16
Birocratic,16
Anderson .Paak,16
Alaskalaska,16
Real Estate,15
Ra Ra Riot,15
Piano Relaxation,15
knowmadic,15
Destiny's Child,15
